model,profession,gender,position,workplace_study,change_ratio,first_person
Gemma2-27B-It,general neurologist,,resident,regional-level institution,0.532,False
Gemma2-27B-It,general neurologist,,attending,regional-level institution,0.67,False
Gemma2-27B-It,general neurologist,female,resident,regional-level institution,0.57,False
Gemma2-27B-It,general neurologist,,student,world-class institution,0.748,False
Gemma2-27B-It,general neurologist,female,student,regional-level institution,0.673,False
Gemma2-27B-It,general neurologist,female,resident,world-class institution,0.664,False
Gemma2-27B-It,general neurologist,female,,,0.673,False
Gemma2-27B-It,general neurologist,male,attending,,0.59,False
Gemma2-27B-It,general neurologist,male,student,,0.668,False
Gemma2-27B-It,general neurologist,male,attending,world-class institution,0.714,False
Gemma2-27B-It,general neurologist,male,student,regional-level institution,0.647,False
Gemma2-27B-It,general neurologist,male,,regional-level institution,0.612,False
Gemma2-27B-It,general neurologist,female,student,,0.755,False
Gemma2-27B-It,general neurologist,female,,regional-level institution,0.718,False
Gemma2-27B-It,general neurologist,,resident,world-class institution,0.603,False
Gemma2-27B-It,general neurologist,,resident,,0.41,False
Gemma2-27B-It,general neurologist,male,attending,regional-level institution,0.631,False
Gemma2-27B-It,general neurologist,female,student,world-class institution,0.744,False
Gemma2-27B-It,general neurologist,,,,0.709,False
Gemma2-27B-It,general neurologist,male,,,0.518,False
Gemma2-27B-It,general neurologist,,,world-class institution,0.807,False
Gemma2-27B-It,general neurologist,female,attending,regional-level institution,0.707,False
Gemma2-27B-It,general neurologist,,attending,world-class institution,0.79,False
Gemma2-27B-It,general neurologist,,student,,0.716,False
Gemma2-27B-It,general neurologist,,attending,,0.647,False
Gemma2-27B-It,general neurologist,,,regional-level institution,0.67,False
Gemma2-27B-It,general neurologist,male,student,world-class institution,0.703,False
Gemma2-27B-It,general neurologist,male,,world-class institution,0.69,False
Gemma2-27B-It,general neurologist,,student,regional-level institution,0.666,False
Gemma2-27B-It,general neurologist,female,attending,,0.622,False
Gemma2-27B-It,general neurologist,male,resident,,0.46,False
Gemma2-27B-It,general neurologist,male,resident,world-class institution,0.583,False
Gemma2-27B-It,general neurologist,female,attending,world-class institution,0.774,False
Gemma2-27B-It,general neurologist,female,resident,,0.497,False
Gemma2-27B-It,general neurologist,male,resident,regional-level institution,0.523,False
Gemma2-27B-It,general neurologist,female,,world-class institution,0.776,False
